Name,Kills,Kill Assists,KMDD,Components Destroyed,Damage
Sevronis,1,27,4,4,2264
Zuul the Burninator,3,27,3,9,1710
pogularchampion,2,26,1,7,1167
T e c h 4 9,1,26,2,2,1331
Mangoba,2,26,6,9,1902
Ryder60,3,26,7,9,1993
Texan Scrub Lord,4,26,5,19,1563
Ferrous Idaho,2,26,2,7,1136
The Blood Eagle,3,26,4,8,1372
Temuedschin40,3,25,10,9,2716
MrSpacerat,4,25,7,14,2346
That Mech,0,25,2,2,1754
AndiMech,0,25,4,6,1982
I O O percent KongLord,4,25,4,10,1788
thatoneBALDguy,3,25,8,13,2387
unFearing,2,25,4,6,1889
Guillocuda,3,25,9,8,2102
Shaky Snake,1,24,3,5,1582
Matmoesa,0,24,2,2,1446
madcat3050,5,24,4,15,1954
Isaiah Kell,1,23,2,3,1338
SirHavan,0,23,2,1,703
Locusts,3,23,4,8,1841
CenterMass,4,23,6,11,1862
Throe,3,23,6,7,2513
Greyfoxx,2,23,4,6,929
PrometheusTNO,2,23,3,9,1533
D A T A,1,23,5,4,1670
3RoyalStar1,4,23,4,9,1343
Ghogiel,5,23,2,6,1619
Raythe 71,4,23,4,13,1627
Seawiz,1,22,0,3,1267
Not Bob,1,22,5,7,1986
Gan2441,2,22,1,2,1707
GeeRam,7,22,7,18,2367
Malystryx VoF,5,22,10,13,2715
Monsoon Cloudburst,7,22,7,12,2511
WhiteEyas,1,22,3,5,1621
Thilas,2,22,4,16,1690
Painsucker,2,21,3,7,961
Molachai,0,21,1,2,1422
FiveDay,4,21,7,14,1845
bear_cl4w,3,21,2,5,1472
Dr Cara Carcass,2,21,5,5,1723
Shotgunfist,0,21,1,2,892
Yuntow,3,20,6,4,2077
INVIICTUS,1,20,4,9,1874
Samuli Salonen,0,20,3,0,1566
Pls Boku my Pico Onii-Chan UwU,2,20,4,9,2144
Jiffy,4,20,5,8,2088
Jay Z,2,20,7,4,1532
FDLR1150,1,20,4,3,1596
J a y,2,20,5,4,1895
Punchus,1,19,6,5,1320
Hammer 13,4,19,7,8,1941
CarbonFire,1,19,0,4,1212
-Awesomeguyzzz-,0,19,4,6,1943
Kiran Yagami,2,19,1,3,1058
Initializr,1,19,3,8,1672
Wobbly,2,19,2,3,1644
DargorA7X,2,18,2,4,1899
Odin Steele,4,18,8,9,2379
Amarok_,3,18,4,8,1884
Therax,2,18,3,9,1704
Rhavii,4,18,6,8,2228
Black Caiman,0,18,2,1,1291
HydroKyle240,2,17,4,6,1837
zudukai,6,16,4,11,1986
GIJimmy41,2,15,2,8,1670
justcallme A S H,5,14,8,13,2657
