Name,Kills,Kill Assists,KMDD,Components Destroyed,Damage
Dubious Squirrel,11,13,5,22,1281
SlightlyMobileTurret,11,15,7,21,2628
GeeRam,10,19,8,16,2861
Jiffy,10,8,6,19,1759
Raythe 71,10,17,9,19,2216
Custom Gaming Chair,9,10,6,16,1831
HydroKyle240,9,5,4,18,2048
sharpendlily,9,14,5,22,1827
Rick88,9,18,5,16,1572
Poly Cat,9,16,5,25,1912
Shotgunfist,9,16,4,17,1909
Krasnopesky,9,20,4,20,2363
Black Caiman,9,14,5,15,1603
Arthen00,8,19,7,19,2166
Verenix,8,9,4,12,1861
Katastrophy Kid,8,17,7,16,1871
Rabbid0Squirrel,8,8,3,18,1871
AndiMech,8,15,7,12,2411
ResidentCloakingCommie,8,21,6,13,1733
Alex545,8,15,4,13,1810
Jay Z,8,16,9,10,2029
3RoyalStar1,8,15,4,13,1746
I O O percent KongLord,7,23,8,15,2517
Navid A1,7,17,3,16,1632
Monsoon Cloudburst,7,22,7,12,2511
ForkTheSp00nWrecker,7,12,5,12,1780
Psychedelic Dragon Fury,7,17,6,19,1983
Bows3r,7,20,5,17,2138
ENDMYSUFFERING,7,13,2,11,1387
RJF Daniel,7,4,4,10,1679
LordSkyKnight,7,7,3,18,1961
Stimraug,7,20,5,11,1744
Ghogiel,7,13,2,16,1454
Jump Gunnington,7,16,3,12,1482
minist3r,7,13,4,15,1776
Nisk,7,17,5,14,2038
BlueDevilspawn,7,18,4,8,1639
___,7,20,10,17,2618
Feezou,7,5,5,11,2084
Paradox42,7,21,9,17,2230
Flynn Hasek,7,13,3,11,1328
madcat3050,6,18,6,10,1774
Leve198777 Thy Potato Pope,6,14,4,17,2059
Wilthanan,6,10,4,14,1542
CarbonFire,6,17,9,12,2241
R1ghty0th3n,6,10,3,13,1052
Zonaron8,6,5,1,14,1321
The Legend of Kelda,6,16,5,11,1371
07th ZaIn,6,7,5,11,1149
THOR 2-0,6,12,0,9,910
Kageru Ikazuchi,6,12,2,13,1160
Texan Scrub Lord,6,19,4,9,1466
zudukai,6,16,4,11,1986
Dr Cara Carcass,6,21,6,20,2056
Hammer 13,6,17,2,16,2151
slice22358,6,23,3,14,1448
Syso69,5,9,5,10,1112
Locusts,5,18,4,10,1575
EmbarRassing,5,22,4,12,1688
Darkstrand,5,2,2,9,780
jamesbombed00420,5,8,3,11,732
Ryder60,5,15,3,14,1928
Throe,5,17,5,11,2108
giggitygiggitygoo,5,17,4,15,2218
-A C E-,5,11,4,16,1107
WayOwenZ,5,19,4,13,1736
I LOVE ANNIHILATORS,5,11,3,7,1576
Solovey Razbounik,5,15,0,16,1531
justcallme A S H,5,14,8,13,2657
Rhavii,4,18,6,8,2228
