Name,Kills,Kill Assists,KMDD,Components Destroyed,Damage
justcallme A S H,6,20,15,19,3551
AndiMech,11,15,12,29,2848
Nisk,8,15,12,17,2148
___,7,20,10,17,2618
Temuedschin40,3,25,10,9,2716
Stimraug,4,23,10,15,2656
Malystryx VoF,5,22,10,13,2715
Guillocuda,3,25,9,8,2102
CarbonFire,6,17,9,12,2241
EmbarRassing,6,18,9,19,2009
Not Bob,4,26,9,8,2651
D A T A,5,22,9,19,2523
Jay Z,8,16,9,10,2029
Raythe 71,10,17,9,19,2216
RJF Daniel,4,15,9,16,1632
Herod,2,14,9,8,2125
Paradox42,7,21,9,17,2230
unFearing,6,18,9,21,2609
LordSkyKnight,6,18,9,12,2050
SirEpicPwner,7,21,9,16,2450
thatoneBALDguy,3,25,8,13,2387
DargorA7X,7,21,8,15,2395
J a y,3,17,8,7,1779
GeeRam,10,19,8,16,2861
Odin Steele,4,18,8,9,2379
J0LLY R0GER,4,17,8,14,2193
Gadolinium64,7,16,8,23,1639
Ryder60,4,25,8,10,2765
Tiy0s,3,18,7,6,1920
MrSpacerat,4,25,7,14,2346
Arthen00,8,19,7,19,2166
Katastrophy Kid,6,19,7,13,2046
Dithiolium,6,18,7,14,1896
Matmoesa,4,24,7,6,1741
Mangoba,4,16,7,11,1581
Crypto OKI,2,10,7,10,1875
Duke Nedo,4,18,7,11,1847
LadyWolfe143,5,20,7,10,1987
SlightlyMobileTurret,2,13,7,8,2032
Hammer 13,4,19,7,8,1941
Navid A1,6,16,7,13,2081
Hotshot29,5,19,6,6,1984
CenterMass,4,23,6,11,1862
Taeryr,4,8,6,13,1616
The Jewce Iz Loose,6,12,6,10,1799
pogularchampion,2,24,6,8,1481
Smegbot,2,20,6,9,2007
That Mech,4,20,6,10,2254
Jiffy,10,8,6,19,1759
Sorter76,1,6,6,8,1657
nuttyrat,1,11,6,10,1936
VaMPHuNT,5,15,6,14,2127
ApostleBerk,2,14,6,7,1740
Throe,3,23,6,7,2513
Sailor Jerry,1,14,6,4,1556
Therax,4,20,6,11,1755
Hatepriest,3,16,6,10,2185
Feezou,7,5,5,11,2084
BryanFerry,4,11,5,8,2032
Amagibestfox,4,16,5,8,2287
Kiran Yagami,2,19,5,5,1838
07th ZaIn,6,7,5,11,1149
P A S H A,4,15,5,7,1963
Dr Cara Carcass,2,21,5,5,1723
